,Course Code,INSTITUTION and COURSE,EOS,Mid
1,AL801,Software Design with Virtual Reality and Gaming,304,328
2,AL802,Software Design with Cloud Computing,301,306
3,AL803,Software Design with Mobile Apps and Connected Devices,309,337
4,AL805,Network Management and Cloud Infrastructure,329,442
5,AL810,Quantity Surveying,307,349
6,AL820,Mechanical and Polymer Engineering,300,358
7,AL830,General Nursing,410,429
8,AL832,Psychiatric Nursing,387,403
9,AL836,Nutrition and Health Science,352,383
10,AL837,Sports Science with Exercise Physiology,351,392
11,AL838,Biotechnology,302,372
12,AL839,Microbiology,322,371
13,AL840,Pharmaceutical Sciences,328,411
14,AL841,Athletic and Rehabilitation Therapy,423,430
15,AL842,Bioveterinary Science,310,366
16,AL843,Physical Activity and Health Science,310,330
17,AL850,Business,307,356
18,AL851,Business and Law,301,341
19,AL852,Accounting (with optional placement),290,346
20,AL853,Accounting and Law,305,320
21,AL855,Hospitality Management (with International placement),312,357
22,AL857,Digital Marketing,300,360
23,AL860,Social Care Practice,309,338
24,AL861,Animation and Illustration (portfolio),#615,899
25,AL863,Graphic and Digital Design (portfolio),#703,898
26,AL864,Early Years Care and Education,307,348
27,AL870,Applied Psychology,409,445
29,CW018,"Business (options, Wexford)",327,349
30,CW028,Early Childhood Education and Care (Wexford),252,308
31,CW038,"Art (portfolio, Wexford)",#700,700
32,CW058,Tourism and Event Management (Wexford),252,262
33,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280
34,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320
35,CW088,Visual Communications and Design (Wexford),309,345
36,CW108,Science (options),261,326
37,CW128,Brewing and Distilling,271,298
38,CW178,Sport Science (options),399,424
39,CW188,Sport Rehabilitation and Athletic Therapy,454,473
40,CW208,Computer Games Development,281,338
41,CW238,Software Development,300,343
42,CW248,Information Technology Management,307,357
43,CW258,Cybercrime and IT Security,300,328
44,CW268,Computing in Interactive Digital Art and Design,274,321
45,CW438,Construction (options),271,308
46,CW468,Architectural Technology,252,290
47,CW478,Civil Engineering,348,383
48,CW548,Mechanical Engineering,310,351
49,CW558,Electronic Systems,279,338
50,CW568,Aerospace Engineering,366,422
51,CW578,TV and Media Production,327,361
52,CW708,Law - LLB,298,328
53,CW728,Product Design Innovation,286,355
54,CW748,Early Childhood Education and Care,265,338
55,CW758,Applied Social Studies - Professional Social Care,290,319
56,CW808,Media and Public Relations,248,307
57,CW848,Digital Marketing with Analytics,279,307
58,CW858,"Sports Management and Coaching (options, portfolio)",#700,700
59,CW908,Business (options),260,307
60,CW938,Business with Law,270,288
61,CW948,Accounting,301,408
63,PC405,"Social, Political and Community Studies",251,296
64,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289
65,PC411,English and History (fulfils Teaching Council requirements),168,289
67,CR105,Chemical and Biopharmaceutical Engineering,432,498
68,CR106,Software Development,351,393
69,CR108,Mechanical Engineering,425,487
70,CR109,Structural Engineering,341,467
71,CR110,Automotive Business Management and Technology,318,347
72,CR112,Creative Digital Media,335,389
73,CR116,Computer Systems,318,381
74,CR121,Music at CIT Cork School of Music,#633,1052
75,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021
76,CR126,Popular Music: Drums at CIT Cork School of Music,#878,1043
77,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,761
78,CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,1009
79,CR129,Popular Music: Voice at CIT Cork School of Music,#857,927
80,CR130,Musical Theatre,#500,600
81,CR150,Business Information Systems,326,371
82,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,979
83,CR220,Fine Art at CIT Crawford College of Art and Design,#620,819
84,CR225,Photography with New Media,#920,920
85,CR305,Physical Sciences (Common Entry),279,309
86,CR310,IT Management,282,317
87,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556
88,CR325,Pharmaceutical Biotechnology,388,422
89,CR333,Nutrition and Health Science,360,393
90,CR335,Biological Sciences (Common Entry),381,419
91,CR340,Analytical Chemistry with Quality Assurance,288,315
92,CR360,Instrument Engineering,291,329
93,CR365,Environmental Science and Sustainable Technology,334,362
94,CR370,Agri-Biosciences,408,431
95,CR400,Accounting,316,389
96,CR420,Marketing,288,329
97,CR425,International Business with Language,300,392
98,CR500,Engineering (Common Entry),381,424
99,CR510,Sustainable Energy Engineering,319,343
100,CR520,Biomedical Engineering,434,477
101,CR560,Architectural Technology,288,332
102,CR565,Interior Architecture,336,390
103,CR570,Quantity Surveying,279,342
104,CR572,Construction Management,253,300
105,CR580,Electrical Engineering,344,374
106,CR590,Electronic Engineering,342,411
107,CR600,Visual Communications,#587,888
108,CR660,Tourism Management,249,290
