,Course_Code,Course_Title,EOS_2019,Mid,finalPoints2019
1,AL801,Software Design with Virtual Reality and Gaming,304.0,328,304.0
2,AL802,Software Design with Cloud Computing,301.0,306,301.0
3,AL803,Software Design with Mobile Apps and Connected Devices,309.0,337,309.0
4,AL805,Network Management and Cloud Infrastructure,329.0,442,329.0
5,AL810,Quantity Surveying,307.0,349,307.0
6,AL820,Mechanical and Polymer Engineering,300.0,358,300.0
7,AL830,General Nursing,410.0,429,410.0
8,AL832,Psychiatric Nursing,387.0,403,387.0
9,AL836,Nutrition and Health Science,352.0,383,352.0
10,AL837,Sports Science with Exercise Physiology,351.0,392,351.0
11,AL838,Biotechnology,302.0,372,302.0
12,AL839,Microbiology,322.0,371,322.0
13,AL840,Pharmaceutical Sciences,328.0,411,328.0
14,AL841,Athletic and Rehabilitation Therapy,423.0,430,423.0
15,AL842,Bioveterinary Science,310.0,366,310.0
16,AL843,Physical Activity and Health Science,310.0,330,310.0
17,AL850,Business,307.0,356,307.0
18,AL851,Business and Law,301.0,341,301.0
19,AL852,Accounting (with optional placement),290.0,346,290.0
20,AL853,Accounting and Law,305.0,320,305.0
21,AL855,Hospitality Management (with International placement),312.0,357,312.0
22,AL857,Digital Marketing,300.0,360,300.0
23,AL860,Social Care Practice,309.0,338,309.0
24,AL861,Animation and Illustration (portfolio),,899,
25,AL863,Graphic and Digital Design (portfolio),,898,
26,AL864,Early Years Care and Education,307.0,348,307.0
27,AL870,Applied Psychology,409.0,445,409.0
29,CW018,"Business (options, Wexford)",327.0,349,327.0
30,CW028,Early Childhood Education and Care (Wexford),252.0,308,252.0
31,CW038,"Art (portfolio, Wexford)",,700,
32,CW058,Tourism and Event Management (Wexford),252.0,262,252.0
33,CW068,Applied Social Studies - Professional Social Care (Wexford),251.0,280,251.0
34,CW078,Sustainable Farm Management and Agribusiness (Wexford),266.0,320,266.0
35,CW088,Visual Communications and Design (Wexford),309.0,345,309.0
36,CW108,Science (options),261.0,326,261.0
37,CW128,Brewing and Distilling,271.0,298,271.0
38,CW178,Sport Science (options),399.0,424,399.0
39,CW188,Sport Rehabilitation and Athletic Therapy,454.0,473,454.0
40,CW208,Computer Games Development,281.0,338,281.0
41,CW238,Software Development,300.0,343,300.0
42,CW248,Information Technology Management,307.0,357,307.0
43,CW258,Cybercrime and IT Security,300.0,328,300.0
44,CW268,Computing in Interactive Digital Art and Design,274.0,321,274.0
45,CW438,Construction (options),271.0,308,271.0
46,CW468,Architectural Technology,252.0,290,252.0
47,CW478,Civil Engineering,348.0,383,348.0
