,Course_Code,Course_Title,EOS_2019,Mid
0,AL801,Software Design with Virtual Reality and Gaming,304.0,328
1,AL802,Software Design with Cloud Computing,301.0,306
2,AL803,Software Design with Mobile Apps and Connected Devices,309.0,337
3,AL805,Network Management and Cloud Infrastructure,329.0,442
4,AL810,Quantity Surveying,307.0,349
5,AL820,Mechanical and Polymer Engineering,300.0,358
6,AL830,General Nursing,410.0,429
7,AL832,Psychiatric Nursing,387.0,403
8,AL836,Nutrition and Health Science,352.0,383
9,AL837,Sports Science with Exercise Physiology,351.0,392
10,AL838,Biotechnology,302.0,372
11,AL839,Microbiology,322.0,371
12,AL840,Pharmaceutical Sciences,328.0,411
13,AL841,Athletic and Rehabilitation Therapy,423.0,430
14,AL842,Bioveterinary Science,310.0,366
15,AL843,Physical Activity and Health Science,310.0,330
16,AL850,Business,307.0,356
17,AL851,Business and Law,301.0,341
18,AL852,Accounting (with optional placement),290.0,346
19,AL853,Accounting and Law,305.0,320
20,AL855,Hospitality Management (with International placement),312.0,357
21,AL857,Digital Marketing,300.0,360
22,AL860,Social Care Practice,309.0,338
23,AL861,Animation and Illustration (portfolio),,899
24,AL863,Graphic and Digital Design (portfolio),,898
25,AL864,Early Years Care and Education,307.0,348
26,AL870,Applied Psychology,409.0,445
27,CW018,"Business (options, Wexford)",327.0,349
28,CW028,Early Childhood Education and Care (Wexford),252.0,308
29,CW038,"Art (portfolio, Wexford)",,700
30,CW058,Tourism and Event Management (Wexford),252.0,262
31,CW068,Applied Social Studies - Professional Social Care (Wexford),251.0,280
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),266.0,320
33,CW088,Visual Communications and Design (Wexford),309.0,345
34,CW108,Science (options),261.0,326
35,CW128,Brewing and Distilling,271.0,298
36,CW178,Sport Science (options),399.0,424
37,CW188,Sport Rehabilitation and Athletic Therapy,454.0,473
38,CW208,Computer Games Development,281.0,338
39,CW238,Software Development,300.0,343
40,CW248,Information Technology Management,307.0,357
41,CW258,Cybercrime and IT Security,300.0,328
42,CW268,Computing in Interactive Digital Art and Design,274.0,321
43,CW438,Construction (options),271.0,308
44,CW468,Architectural Technology,252.0,290
45,CW478,Civil Engineering,348.0,383
46,CW548,Mechanical Engineering,310.0,351
47,CW558,Electronic Systems,279.0,338
48,CW568,Aerospace Engineering,366.0,422
49,CW578,TV and Media Production,327.0,361
50,CW708,Law - LLB,298.0,328
51,CW728,Product Design Innovation,286.0,355
