Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019,Institution
AC120,International Business,294.0,209.0,234.0,American College Dublin
AC137,Liberal Arts,270.0,252.0,252.0,American College Dublin
AD101,First Year Art & Design (Common Entry),554.0,,,National College of Art and Design
AD102,Graphic Design and Moving Image Design (portfolio),538.0,,,National College of Art and Design
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),505.0,,,National College of Art and Design
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",591.0,,,National College of Art and Design
AD204,Fine Art,514.0,,,National College of Art and Design
AD211,Fashion Design (portfolio),679.0,,,National College of Art and Design
AD212,Product Design (portfolio),413.0,,,National College of Art and Design
AD215,Visual Culture,300.0,320.0,300.0,National College of Art and Design
AD217,Illustration,738.0,,,National College of Art and Design
AD222,Interaction Design,444.0,,,National College of Art and Design
AL600,Software Design,,104.0,,Athlone Institute of Technology
AL601,Computer Engineering,,112.0,,Athlone Institute of Technology
AL602,Mechanical Engineering,,260.0,,Athlone Institute of Technology
AL604,Civil Engineering,,,,Athlone Institute of Technology
AL605,Music and Instrument Technology,,154.0,,Athlone Institute of Technology
AL630,Pharmacy Technician,,295.0,,Athlone Institute of Technology
AL631,Dental Nursing,,298.0,,Athlone Institute of Technology
AL632,Applied Science,,234.0,,Athlone Institute of Technology
AL650,Business,,207.0,,Athlone Institute of Technology
AL660,Culinary Arts,,112.0,,Athlone Institute of Technology
AL661,Bar Supervision,,101.0,,Athlone Institute of Technology
AL663,Business (Sport and Recreation),,120.0,,Athlone Institute of Technology
AL701,Computer Engineering with Network Infrastructure,,216.0,,Athlone Institute of Technology
AL702,Software Design with Artificial Intelligence for Cloud Computing,,214.0,,Athlone Institute of Technology
AL703,Software Design with Virtual Reality and Gaming,,224.0,,Athlone Institute of Technology
AL704,Computer Engineering,,204.0,,Athlone Institute of Technology
AL705,Software Design with Mobile Apps and Connected Devices,,216.0,,Athlone Institute of Technology
AL710,Mechanical Engineering,,223.0,,Athlone Institute of Technology
AL711,Mechanical Engineering and Renewable Energy,,228.0,,Athlone Institute of Technology
