Course_Code,Course_Title,finalPoints2021,finalPoints2020,finalPoints2019
AC120,International Business,,209.0,234.0
AC137,Liberal Arts,,252.0,252.0
AD101,First Year Art & Design (Common Entry),,,
AD102,Graphic Design and Moving Image Design (portfolio),,,
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),,,
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,,
AD204,Fine Art,,,
AD211,Fashion Design (portfolio),,,
AD212,Product Design (portfolio),,,
AD215,Visual Culture,,320.0,300.0
AD217,Illustration,,,
AD222,Interaction Design,,,
AL600,Software Design,,,
AL601,Computer Engineering,,,
AL602,Mechanical Engineering,,,
AL604,Civil Engineering,,,
AL605,Music and Instrument Technology,,,
AL630,Pharmacy Technician,,295.0,
AL631,Dental Nursing,,298.0,
AL632,Applied Science,,234.0,
AL650,Business,,207.0,
AL660,Culinary Arts,,,
AL661,Bar Supervision,,,
AL663,Business (Sport and Recreation),,,
AL701,Computer Engineering with Network Infrastructure,,216.0,
AL702,Software Design with Artificial Intelligence for Cloud Computing,,214.0,
AL703,Software Design with Virtual Reality and Gaming,,216.0,
AL704,Computer Engineering,,204.0,
AL705,Software Design with Mobile Apps and Connected Devices,,216.0,
AL710,Mechanical Engineering,,223.0,
AL711,Mechanical Engineering and Renewable Energy,,228.0,
AL712,Automation and Robotics,,252.0,
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),,218.0,
AL718,Music and Sound Engineering,,214.0,
AL721,Civil Engineering,,233.0,
AL730,Biotechnology,,250.0,
AL731,Veterinary Nursing,,400.0,
AL734,Pharmaceutical Sciences (Drug Development and Analysis),,244.0,
AL740,Exercise and Health Science,,250.0,
AL751,Digital Marketing,,241.0,
AL752,Business,,225.0,
AL761,Hotel and Leisure Management,,208.0,
AL763,Graphic Design (portfolio),,781.0,
AL764,Early Years Care and Education,,260.0,
AL765,Applied Social Studies in Social Care,,280.0,
AL801,Software Design with Virtual Reality and Gaming,,303.0,304.0
AL802,Software Design with Cloud Computing,,332.0,301.0
AL803,Software Design with Mobile Apps and Connected Devices,,337.0,309.0
AL805,Computer Engineering for Network Infrastructure,,333.0,329.0
AL810,Quantity Surveying,,319.0,307.0
AL811,Civil Engineering,,320.0,
AL820,Mechanical and Polymer Engineering,,308.0,300.0
AL830,General Nursing,,442.0,410.0
AL832,Mental Health Nursing,,384.0,387.0
AL835,Pharmacology,,,
AL836,Nutrition and Health Science,,334.0,352.0
AL837,Sports Science with Exercise Physiology,,351.0,351.0
AL838,Biotechnology,,307.0,302.0
AL839,Microbiology,,325.0,322.0
AL840,Pharmaceutical Sciences,,347.0,328.0
AL841,Athletic and Rehabilitation Therapy,,430.0,423.0
AL842,Bioveterinary Science,,313.0,310.0
AL843,Physical Activity and Health Science,,306.0,310.0
AL849,Culinary Entrepreneurship,,,
AL850,Business,,309.0,307.0
AL851,Business and Law,,295.0,301.0
AL852,Accounting (with optional placement),,309.0,290.0
AL853,Accounting and Law,,,305.0
AL854,Sport Management (with international placement),,299.0,
AL855,Hospitality Management (with International placement),,308.0,312.0
AL857,Digital Marketing,,304.0,300.0
AL859,International Business,,,
AL860,Social Care Practice,,300.0,309.0
AL861,Animation and Illustration (portfolio),,578.0,
AL863,Graphic and Digital Design (portfolio),,781.0,
AL864,Early Years Care and Education,,307.0,307.0
AL870,Applied Psychology,,418.0,409.0
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",,510.0,
AS002,Education  Home Economics and Religious Ed - with,,434.0,
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",,440.0,421.0
AS051,"Nutrition, Food and Business Management",,317.0,337.0
AS054,Home Economics,,398.0,387.0
AS110,General Nursing,,419.0,
AS130,Intellectual Disability Nursing,,328.0,317.0
BN101,Business,,,252.0
BN103,Business and Information Technology,,,254.0
BN104,Computing (Information Technology),,,260.0
BN107,Applied Social Studies in Social Care,,,300.0
BN108,Engineering (Common Entry with Award options),,,271.0
BN109,Business (Common Entry with Award options),,,260.0
BN110,International Business,,,253.0
BN111,Sports Management and Coaching,,,270.0
BN112,Creative Digital Media,,,280.0
BN113,Horticulture,,,289.0
BN114,Accounting and Finance,,,280.0
BN115,Community and Youth Development,,,250.0
BN117,Computer Engineering in Mobile Systems,,,273.0
BN118,Early Childhood Care and Education,,,290.0
BN119,Digital Marketing,,,270.0
BN120,Digital Forensics and Cyber Security,,,281.0
BN121,Mechatronic Engineering,,,276.0
BN123,"Design,Technology and Innovation",,,297.0
BY001,Business,,,
CI001,Counselling Skills and Psychotherapy Studies,,300.0,
CI002,Counselling Skills and Addiction Studies,,309.0,
CI005,Counselling Skills and Youth Studies,,302.0,
CI101,Counselling and Psychotherapy (Limerick),,,276.0
CI110,Counselling and Psychotherapy,,310.0,
CI111,Counselling and Psychotherapy with Addiction Studi,,301.0,
CI112,Counselling and Psychotherapy with Youth Studies,,311.0,
CK101,Arts - 3 years,,300.0,300.0
CK102,Social Science,,412.0,391.0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),,302.0,
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),,337.0,397.0
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),,328.0,326.0
CK108,Arts International - 4 years,,401.0,429.0
CK109,English - 3 years or 4 years (International Pathway),,318.0,347.0
CK110,World Languages,,433.0,456.0
CK111,Early Years and Childhood Studies,,419.0,398.0
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),,330.0,
CK113,Criminology - 3 years or 4 years (International Pathway),,423.0,408.0
CK114,Social Science (Youth and Community Work) - 3 years,,,
CK115,Social Work - Mature Applicants only,,,
CK116,Sports Studies and Physical Education,,,499.0
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),,336.0,307.0
CK120,Applied Psychology,,532.0,506.0
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),,466.0,393.0
CK122,Government and Political Science,,328.0,355.0
CK123,Anthropology,,308.0,
CK124,Education - Gaeilge,,462.0,
CK125,Sports Studies and Physical Education,,509.0,
CK201,Commerce,,477.0,
CK202,Accounting,,509.0,467.0
CK203,Business Information Systems,,430.0,409.0
CK204,Finance,,556.0,531.0
CK205,Commerce (International) with French,,445.0,409.0
CK206,Commerce (International) with German,,418.0,408.0
CK207,Commerce (International) with Italian,,388.0,408.0
CK208,Commerce (International) with Hispanic Studies,,402.0,431.0
CK209,Commerce (International) with Irish,,484.0,509.0
CK211,Commerce (International) with Chinese Studies,,397.0,398.0
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),,444.0,400.0
CK213,Food Marketing and Entrepreneurship,,462.0,
CK214,International Development,,346.0,
CK301,Law (Pathways) -  3 or 4 years,,499.0,476.0
CK302,Law and French,,542.0,453.0
CK304,Law and Irish,,540.0,462.0
CK307,Law and Business,,556.0,522.0
CK401,Computer Science,,468.0,402.0
CK402,Biological and Chemical Sciences,,509.0,498.0
CK404,"Biological, Earth and Environmental Sciences",,467.0,412.0
CK405,Genetics,,487.0,476.0
CK406,Chemical Sciences,,472.0,457.0
CK407,Mathematical Sciences,,565.0,531.0
CK408,Physics and Astrophysics,,542.0,511.0
CK409,Industrial Physics - Offered jointly by UCC and CI,,432.0,413.0
CK411,Data Science and Analytics,,510.0,509.0
CK412,Agricultural Science,,496.0,457.0
CK502,Food Marketing and Entrepreneurship,,,433.0
CK504,Nutritional Sciences,,518.0,492.0
CK505,Food Science,,440.0,444.0
CK506,International Development and Food Policy,,,367.0
CK600,Engineering,,487.0,465.0
CK606,Architecture - Offered jointly by UCC and CIT,,476.0,465.0
CK701,Medicine (Undergraduate Entry - HPAT required),,731.0,
