,Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019
0,AC120,International Business,300.0,,
1,AC137,Liberal Arts,313.0,,
2,AD101,First Year Art & Design (Common Entry),350.0,,
3,AD102,Graphic Design and Moving Image Design (portfolio),321.0,,
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),328.0,,
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,,
6,AD204,Fine Art,327.0,,
7,AD211,Fashion Design (portfolio),444.0,,
8,AD212,Product Design (portfolio),431.0,,
9,AD215,Visual Culture,356.0,,
10,AD217,Illustration,346.0,,
11,AD222,Interaction Design,357.0,,
12,AL600,Software Design,324.0,,
13,AL601,Computer Engineering,325.0,,
14,AL602,Mechanical Engineering,346.0,,
15,AL604,Civil Engineering,476.0,,
16,AL605,Music and Instrument Technology,338.0,,
17,AL630,Pharmacy Technician,306.0,,
18,AL631,Dental Nursing,297.0,,
19,AL632,Applied Science,309.0,,
20,AL650,Business,302.0,,
21,AL660,Culinary Arts,336.0,,
22,AL661,Bar Supervision,299.0,,
23,AL663,Business (Sport and Recreation),309.0,,
24,AL701,Computer Engineering with Network Infrastructure,304.0,,
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,308.0,,
26,AL703,Software Design with Virtual Reality and Gaming,301.0,,
27,AL704,Computer Engineering,575.0,,
28,AL705,Software Design with Mobile Apps and Connected Devices,747.0,,
29,AL710,Mechanical Engineering,306.0,,
30,AL711,Mechanical Engineering and Renewable Energy,467.0,,
31,AL712,Automation and Robotics,307.0,,
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),260.0,,
33,AL718,Music and Sound Engineering,700.0,,
34,AL721,Civil Engineering,292.0,,
35,AL730,Biotechnology,250.0,,
36,AL731,Veterinary Nursing,270.0,,
37,AL734,Pharmaceutical Sciences (Drug Development and Analysis),270.0,,
38,AL740,Exercise and Health Science,266.0,,
39,AL751,Digital Marketing,307.0,,
40,AL752,Business,423.0,,
41,AL761,Hotel and Leisure Management,388.0,,
42,AL763,Graphic Design (portfolio),451.0,,
43,AL764,Early Years Care and Education,272.0,,
44,AL765,Applied Social Studies in Social Care,295.0,,
45,AL801,Software Design with Virtual Reality and Gaming,293.0,,
46,AL802,Software Design with Cloud Computing,292.0,,
47,AL803,Software Design with Mobile Apps and Connected Devices,291.0,,
48,AL805,Computer Engineering for Network Infrastructure,251.0,,
49,AL810,Quantity Surveying,283.0,,
50,AL811,Civil Engineering,465.0,,
