Country,sales_2014,sales_2015,sales_2016,sales_2017,sales_2018,sales_2019,sales_2020
Chile ,1998548,2166955,2308600,2446295,2415128,2476438,2602151
Australia ,1584192,1548308,1596180,1513079,1385147,1152669,1391848
France ,1248059,1199105,1163318,1150665,1056619,1134659,1210303
United States ,672061,616683,631258,597983,621540,612356,645495
Spain ,1005655,1012877,1109210,1141605,1154289,1260732,1553222
Italy ,869657,813679,874743,851673,834640,882513,1008586
New Zealand ,338314,425913,505006,543621,568265,639371,706010
South Africa ,395378,376862,342683,326173,301891,243141,221889
Argentina ,192796,196308,252403,271811,284132,324188,433692
Germany ,95090,77085,72864,72483,62154,54031,70601
All Others ,115596,131559,161705,144966,195342,225130,242061
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
