,Course_Code,Course,Points1,Points2
0,Course_Code,Course,Points1,Points2
1,AL801,Software Design for Virtual Reality and Gaming    ,300,
2,Course_Code,Course,Points1,Points2
3,AL802,Software Design in Artificial Intelligence for Clo,313,
4,Course_Code,Course,Points1,Points2
5,AL803,Software Design for Mobile Apps and Connected Devi,350,
6,Course_Code,Course,Points1,Points2
7,AL805,Computer Engineering for Network Infrastructure   ,321,
8,Course_Code,Course,Points1,Points2
9,AL810,Quantity Surveying                                ,328,
10,Course_Code,Course,Points1,Points2
11,AL811,Civil Engineering                                 ,,
12,Course_Code,Course,Points1,Points2
13,AL820,Mechanical and Polymer Engineering                ,327,
14,Course_Code,Course,Points1,Points2
15,AL830,General Nursing                                   ,451*,444
16,Course_Code,Course,Points1,Points2
17,AL832,Mental Health Nursing                             ,440*,431
18,Course_Code,Course,Points1,Points2
19,AL835,Pharmacology                                      ,356,
20,Course_Code,Course,Points1,Points2
21,AL836,Nutrition and Health Science                      ,346,
22,Course_Code,Course,Points1,Points2
23,AL837,Sports Science with Exercise Physiology           ,357,
24,Course_Code,Course,Points1,Points2
25,AL838,Biotechnology                                     ,324,
26,Course_Code,Course,Points1,Points2
27,AL839,Microbiology                                      ,325,
28,Course_Code,Course,Points1,Points2
29,AL840,Pharmaceutical Sciences                           ,346,
30,Course_Code,Course,Points1,Points2
31,AL841,Athletic and Rehabilitation Therapy               ,477,476*
32,Course_Code,Course,Points1,Points2
33,AL842,Bioveterinary Science                             ,338,
34,Course_Code,Course,Points1,Points2
35,AL843,Physical Activity and Health Science              ,306,
36,Course_Code,Course,Points1,Points2
37,AL849,Culinary Entrepreneurship                         ,297,
38,Course_Code,Course,Points1,Points2
39,AL850,Business                                          ,309,
40,Course_Code,Course,Points1,Points2
41,AL851,Business and Law                                  ,302,
42,Course_Code,Course,Points1,Points2
43,AL852,Accounting                                        ,336,
44,Course_Code,Course,Points1,Points2
45,AL854,Sport Management (with international placement)   ,300,299
46,Course_Code,Course,Points1,Points2
47,AL855,Hospitality Management (with international placeme,309,
48,Course_Code,Course,Points1,Points2
49,AL857,Digital Marketing                                 ,304,
50,Course_Code,Course,Points1,Points2
51,AL859,International Business                            ,308,
52,Course_Code,Course,Points1,Points2
53,AL860,Social Care Practice                              ,301,
54,Course_Code,Course,Points1,Points2
55,AL861,Animation and Illustration (portfolio)            ,#575,
56,Course_Code,Course,Points1,Points2
57,AL863,Graphic and Digital Design (portfolio)            ,#747,
58,Course_Code,Course,Points1,Points2
59,AL864,Early Years Care and Education                    ,306,
60,Course_Code,Course,Points1,Points2
61,AL870,Applied Psychology                                ,484*,467*
62,Course_Code,Course,Points1,Points2
63,CW018,Business (options)                                ,307,
64,Course_Code,Course,Points1,Points2
65,CW028,Early Childhood Education and Care                ,260,
66,Course_Code,Course,Points1,Points2
67,CW038,Art (portfolio)                                   ,#700,
68,Course_Code,Course,Points1,Points2
69,CW058,Tourism and Event Management                      ,292,
70,Course_Code,Course,Points1,Points2
71,CW068,Applied Social Studies in Professional Social Care,250,
72,Course_Code,Course,Points1,Points2
73,CW078,Sustainable Farm Management and Agribusiness      ,270,
74,Course_Code,Course,Points1,Points2
75,CW088,Visual Communications and Design                  ,270,
76,Course_Code,Course,Points1,Points2
77,CW108,Science (options)                                 ,266,
78,Course_Code,Course,Points1,Points2
79,CW128,Brewing and Distilling                            ,307,
80,Course_Code,Course,Points1,Points2
81,CW138,Sport and Exercise Science                        ,430,423
82,Course_Code,Course,Points1,Points2
83,CW148,Strength and Conditioning                         ,388,
84,Course_Code,Course,Points1,Points2
85,CW188,Sport Rehabilitation and Athletic Therapy         ,451,
86,Course_Code,Course,Points1,Points2
87,CW208,Computer Games Development                        ,272,
88,Course_Code,Course,Points1,Points2
89,CW238,Software Development                              ,295,
